"price.open","price.high","price.low","price.close","volume","price.adjusted","ret.adjusted.prices","price.highLow","price.hype"
3.733333,3.756666,3.586666,3.653333,58778400,2.836734,-0.0231729779557986,0.17,0.023333
3.656666,3.713333,3.61,3.613333,46023900,2.805675,-0.010948858793246,0.103333,0.056667
3.576666,3.71,3.56,3.676666,58165800,2.854851,0.0175273329947339,0.15,0.133334
3.66,3.8,3.626666,3.71,35216700,2.880735,0.00906667283161178,0.173334,0.14
3.756666,3.833333,3.726666,3.783333,27870900,2.937676,0.019766136072912,0.106667,0.076667
3.756666,3.816666,3.69,3.706666,34534800,2.878146,-0.0202643177804496,0.126666,0.0600000000000001
3.776666,3.93,3.763333,3.906666,71051100,3.033442,0.0539569570132994,0.166667,0.153334
3.94,4.016666,3.863333,4.006666,83285400,3.111089,0.0255969950966592,0.153333,0.0766659999999999
3.976666,4.05,3.916666,3.97,63189600,3.082619,-0.00915113646700561,0.133334,0.073334
3.966666,3.993333,3.87,3.87,33727200,3.004971,-0.0251889708069666,0.123333,0.0266669999999998
3.943333,4.02,3.923333,3.993333,89329800,3.100736,0.0318688599657035,0.0966669999999996,0.0766669999999996
3.94,4.016666,3.94,3.993333,41054100,3.100736,0,0.0766659999999999,0.0766659999999999
3.996666,4.043333,3.976666,4.03,66959100,3.129209,0.0091826585688044,0.0666669999999998,0.0466669999999998
4.013333,4.07,4,4.05,27767100,3.144738,0.00496259597872806,0.0700000000000003,0.056667
4.06,4.06,4,4.023333,25268400,3.124031,-0.00658465029519151,0.0599999999999996,0
4.043333,4.146666,4.02,4.146666,37895100,3.219796,0.0306543052869834,0.126666,0.103333
4.1,4.1,4.046666,4.063333,44035800,3.181474,-0.0119019962755404,0.0533339999999995,0
4.033333,4.073333,4.003333,4.063333,31774500,3.181474,0,0.0700000000000003,0.04
4.03,4.04,3.986666,4.006666,41478600,3.137106,-0.0139457371017333,0.053334,0.00999999999999979
4.016666,4.076666,4.016666,4.07,27351000,3.186694,0.015806925236189,0.0600000000000005,0.0600000000000005
